Survived,Pclass,Sex,Age
0,3,2,22
1,1,1,38
1,3,1,26
1,1,1,35
0,3,2,35
0,3,2,29.69911765
0,1,2,54
0,3,2,2
1,3,1,27
1,2,1,14
1,3,1,4
1,1,1,58
0,3,2,20
0,3,2,39
0,3,1,14
1,2,1,55
0,3,2,2
1,2,2,29.69911765
0,3,1,31
1,3,1,29.69911765
0,2,2,35
1,2,2,34
1,3,1,15
1,1,2,28
0,3,1,8
1,3,1,38
0,3,2,29.69911765
0,1,2,19
1,3,1,29.69911765
0,3,2,29.69911765
0,1,2,40
1,1,1,29.69911765
1,3,1,29.69911765
0,2,2,66
0,1,2,28
0,1,2,42
1,3,2,29.69911765
0,3,2,21
0,3,1,18
1,3,1,14
0,3,1,40
0,2,1,27
0,3,2,29.69911765
1,2,1,3
1,3,1,19
0,3,2,29.69911765
0,3,2,29.69911765
1,3,1,29.69911765
0,3,2,29.69911765
0,3,1,18
0,3,2,7
0,3,2,21
1,1,1,49
1,2,1,29
0,1,2,65
1,1,2,29.69911765
1,2,1,21
0,3,2,28.5
1,2,1,5
0,3,2,11
0,3,2,22
1,1,1,38
0,1,2,45
0,3,2,4
0,1,2,29.69911765
1,3,2,29.69911765
1,2,1,29
0,3,2,19
1,3,1,17
0,3,2,26
0,2,2,32
0,3,1,16
0,2,2,21
0,3,2,26
1,3,2,32
0,3,2,25
0,3,2,29.69911765
0,3,2,29.69911765
1,2,2,0.83
1,3,1,30
0,3,2,22
1,3,2,29
1,3,1,29.69911765
0,1,2,28
1,2,1,17
1,3,1,33
0,3,2,16
0,3,2,29.69911765
1,1,1,23
0,3,2,24
0,3,2,29
0,3,2,20
0,1,2,46
0,3,2,26
0,3,2,59
0,3,2,29.69911765
0,1,2,71
1,1,2,23
1,2,1,34
0,2,2,34
0,3,1,28
0,3,2,29.69911765
0,1,2,21
0,3,2,33
0,3,2,37
0,3,2,28
1,3,1,21
1,3,2,29.69911765
0,3,2,38
1,3,1,29.69911765
0,1,2,47
0,3,1,14.5
0,3,2,22
0,3,1,20
0,3,1,17
0,3,2,21
0,3,2,70.5
0,2,2,29
0,1,2,24
0,3,1,2
0,2,2,21
0,3,2,29.69911765
0,2,2,32.5
1,2,1,32.5
0,1,2,54
1,3,2,12
0,3,2,29.69911765
1,3,2,24
1,3,1,29.69911765
0,3,2,45
0,3,2,33
0,3,2,20
0,3,1,47
1,2,1,29
0,2,2,25
0,2,2,23
1,1,1,19
0,1,2,37
0,3,2,16
0,1,2,24
0,3,1,29.69911765
1,3,1,22
1,3,1,24
0,3,2,19
0,2,2,18
0,2,2,19
1,3,2,27
0,3,1,9
0,2,2,36.5
0,2,2,42
0,2,2,51
1,1,1,22
0,3,2,55.5
0,3,2,40.5
0,3,2,29.69911765
0,1,2,51
1,3,1,16
0,3,2,30
0,3,2,29.69911765
0,3,2,29.69911765
0,3,2,44
1,2,1,40
0,3,2,26
0,3,2,17
0,3,2,1
1,3,2,9
1,1,1,29.69911765
0,3,1,45
0,1,2,29.69911765
0,3,2,28
0,1,2,61
0,3,2,4
1,3,1,1
0,3,2,21
0,1,2,56
0,3,2,18
0,3,2,29.69911765
0,1,1,50
0,2,2,30
0,3,2,36
0,3,1,29.69911765
0,2,2,29.69911765
0,3,2,9
1,2,2,1
1,3,1,4
0,1,2,29.69911765
1,3,1,29.69911765
1,1,2,45
0,3,2,40
0,3,2,36
1,2,1,32
0,2,2,19
1,3,1,19
1,2,2,3
1,1,1,44
1,1,1,58
0,3,2,29.69911765
0,3,2,42
1,3,1,29.69911765
0,2,1,24
0,3,2,28
0,3,2,29.69911765
0,3,2,34
0,3,2,45.5
1,3,2,18
0,3,1,2
0,3,2,32
1,3,2,26
1,3,1,16
1,1,2,40
0,3,2,24
1,2,1,35
0,3,2,22
0,2,2,30
0,3,2,29.69911765
1,1,1,31
1,3,1,27
0,2,2,42
1,1,1,32
0,2,2,30
1,3,2,16
0,2,2,27
0,3,2,51
0,3,2,29.69911765
1,1,2,38
0,3,2,22
1,2,2,19
0,3,2,20.5
0,2,2,18
0,3,1,29.69911765
1,1,1,35
0,3,2,29
0,2,2,59
1,3,1,5
0,2,2,24
0,3,1,29.69911765
0,2,2,44
1,2,1,8
0,2,2,19
0,2,2,33
0,3,1,29.69911765
1,3,1,29.69911765
0,2,2,29
