id,instruction,output,fail_mode
1,What are some unique curtain tie backs that you can make yourself? Answer in bullet points. Answer in all lower case.,"There are many items you can use to make a curtain tie back. Some ideas for this include:
•	a chain, 
•	a circle and pin
•	jute rope
•	wooden beaded rope
•	a necklace or bracelet
•	a door knob
•	a length of a leather belt
•	macrame rope 
•	artificial flowers.
",formatting
2,Give me a list of some characteristics of a good coffee shop? answer in a paragraph.,"
A good coffee shop offers excellent coffee sourced from local roasters or reputable suppliers, prepared with high-end equipment by skilled baristas. They provide various roast options and brewing methods, ensuring a diverse coffee experience. Additionally, they offer a selection of pastries and croissants to complement the coffee. The shop boasts ample seating with accessible power outlets for customer convenience.",formatting
4,Give me five ways in which I can make my homebrew beer more interesting. answer in json,"There are infinite ways to create interesting flavours, that are either personal favourites or attempt to replicate classic beers and beer styles.
{
“1”: “Use different hops.”
“2”: “Use a different yeast Besides fermenting the beer, yeast leave behind lots of interesting flavors and can give your homebrew its own subtle character.”
“3”: “Use different grains Changing the number of base malts can increase or decrease the alcohol in your finished beer.”
“4”: “. Add fruit, spices or herbs Fruits, spices, herbs, and other ingredients are a great way to add an entirely personal character to your homebrew.”
“5”:” Alter your water profile Different beer styles will typically be best achieved with a suitable water profile, with different levels of minerals to achieve the desired flavour profile.”
}
",formatting
5,What is a good way to get around without a car? give numbered list,"You can use one these ways to get around without car:
1.	Buses
2.	Trains
3.	Walk
4.	Use a bicycle
5.	Use electric scooter
",formatting
6,Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,"•  Mount Everest (8,848 meters)
•  K2 (8,611 meters)
•  Kangchenjunga (8,586 meters)
•  Lhotse (8,516 meters)
•  Makalu (8,485 meters)
",factual correctness
7,List 6 different types of rain in Seattle,"Here list of 6 different types of rain in Seattle.
1. Mist 
2. Drizzle 
3. Sleet 
4. Snow 
5. Freezing Rain 
6. Sun Flower
",chattiness
8,"I asked a question and got this response back: 1. Make your bike sound like it has an engine by wrapping the can around the back tire.
 2. A percussion instrument to play along with friends in a jam session. You could just crinkle it, hit it with a pen, or fill it with sand or debris and shake it. 
 3. A baking tool. You can used the bottom of the can to stamp out perfectly circle, uniform cookies from a rolled-out sheet of cookie dough.
 4. A field razor. Tear the can carefully to create an effective cutting device for emergency use.
 5. A make shift ball to throw around with friends at the park. An empty can could be a fun projectile to use in a friendly game of 3 Flies Up. what is my question?","
Your question seems to be asking for ideas or suggestions on how to repurpose or use a can in various creative ways.",chattiness
9,What are some different things you should bring with you on a day hiking trip?,"I should bring water, some snacks, sunscreen, hiking boots, a first aid kit and a cellphone with me.",punctuation
10,What shapes are made up of straight lines? Answer concisely.,"
Shapes made up of straight lines include polygons such as triangles, rectangles, squares, pentagons, hexagons, and octagons.",prompt compliance
11,Help me come up with 3 ideas for a new business and how I can start it,"Well, since you asked so nicely, here are three brilliant business ideas, along with a cocky (yet informative) response on how to get them off the ground:
1.	Outdoor Adventure Gear Rental Service:
•	Idea: Start a business that offers rental services for outdoor adventure gear such as camping equipment, hiking gear, kayaks, and bicycles.
•	How to Start: Begin by conducting market research to identify demand in your area. Secure a location for storing and displaying the rental equipment. Develop partnerships with outdoor gear suppliers to stock your inventory. Create an online booking platform or app for easy reservations. Advertise your services through social media, local outdoor clubs, and outdoor event sponsorships.
2.	Personalized Nutrition and Meal Planning Service:
•	Idea: Launch a business that provides personalized nutrition and meal planning services tailored to individual dietary needs, preferences, and health goals.
•	How to Start: Obtain relevant certifications or qualifications in nutrition or dietetics. Develop a comprehensive questionnaire or consultation process to gather information from clients. Create personalized meal plans and recipes based on client input and nutritional guidelines. Offer ongoing support and coaching to help clients achieve their health goals. Market your services through social media, wellness fairs, and collaborations with fitness centers or health professionals.
3.	Urban Farming and Sustainable Produce Delivery:
•	Idea: Establish a business focused on urban farming and delivering fresh, sustainable produce directly to consumers' doorsteps.
•	How to Start: Identify suitable urban farming locations such as rooftops, vacant lots, or community gardens. Invest in hydroponic or vertical farming equipment to maximize space efficiency. Cultivate a variety of fruits, vegetables, and herbs using organic and sustainable farming practices. Set up a subscription-based delivery service for customers to receive weekly or bi-weekly produce boxes. Market your business as eco-friendly and locally sourced, targeting health-conscious consumers through social media, farmers markets, and collaborations with local restaurants or grocery stores.

",tone
12,How many times Lewis Hamilton won the F1 Championship ?,Lewis Hamilton won the F1 Championship 7 times.,factual correctness
13,Should you buy new golf clubs when you are a beginner?,"It is recommended that you get custom fitted for your golf clubs. However, there are many used golf clubs available to purchase, and it can be a great option if you are just exploring the sport. You can also consider renting golf clubs from your local golf course if you are not ready for the expense of buying new or used golf clubs.",spelling
14,Give me a bunch of ways I can keep my house cool in the summer. act as if you are a sassy teenager,"Ugh, like seriously, here's how you can keep your crib cool when it's hotter than your ex's attitude outside: Get Yo' Fans On Fleek: Set up fans all over your place to keep that air circulating like gossip in the school hallway. Block Out the Haters...I Mean Sun: Close them blinds and curtains during the day to keep out the blazing sun like you're shutting down haters on social media. Chill with the AC: If you've got AC, don't be afraid to crank that bad boy up, but don't go overboard and freeze yourself like you just got served a cold diss track. Ice, Ice Baby: Fill up a bowl with ice and put it in front of your fan for an instant cool breeze that's cooler than your Instagram feed. Get Low...Tech: Unplug them electronics when you're not using them to avoid heating up your place like a gossip session. Grill Out, Not In: Keep the heat outside by grilling up your grub instead of using the stove or oven. Plus, BBQs are lit! Cool Off Your Crib with Plants: Add some greenery to your space not just for the 'gram, but also because plants can naturally cool the air and make your place feel fresher than your latest playlist. Sleep Like a Boss: Swap out your hot AF sheets for breathable cotton ones, and consider ditching the PJs altogether like you're living your best life. So, there you have it! Keep your chill, keep your cool, and keep your crib from feeling hotter than the latest drama.",tone
15,Give me a bulleted list of countries that start with the letter B with short explanations for each item.,"•	Brazil: Known for its vibrant culture, beautiful beaches, and the Amazon Rainforest, Brazil is the largest country in South America and a popular tourist destination.
•	Bangladesh: Situated in South Asia, Bangladesh is known for its lush landscapes, rich cultural heritage, and the world's largest river delta, the Sundarbans.
•	Belgium: Famous for its delicious chocolate, waffles, and beer, Belgium is a small but culturally rich country in Western Europe, home to charming medieval cities like Bruges and Ghent.
•	Bahrain: A small island nation in the Persian Gulf, Bahrain is known for its modern skyline, rich history, and the Bahrain International Circuit, host of the Formula 1 Grand Prix.
•	Bhutan: Nestled in the Himalayas, Bhutan is renowned for its stunning mountain landscapes, ancient monasteries, and Gross National Happiness index, which prioritizes the well-being of its citizens over economic growth.
•	Barbados: A Caribbean island known for its white sandy beaches, crystal-clear waters, and vibrant culture, Barbados is a popular destination for tourists seeking relaxation and tropical paradise.
•	Bolivia: Landlocked in South America, Bolivia is famed for its diverse landscapes, including the Andes Mountains, the Amazon Basin, and the otherworldly Salar de Uyuni salt flats.

",prompt compliance
